subjectID,trialNo,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,3,1500478979200211,1500479512160377,All_of_Extend_trial_3,1,0.6627114,0.3330585,1,0.7239882,0.4667125
99,3,1500478979216837,1500479512177004,All_of_Extend_trial_3,1,0.6679415,0.3562299,1,0.7178574,0.4914451
99,3,1500478979233464,1500479512193632,All_of_Extend_trial_3,1,0.6651741,0.4088176,1,0.7123893,0.4907608
99,3,1500478979250215,1500479512210384,All_of_Extend_trial_3,1,0.6581294,0.3469997,1,0.713317,0.4779888
99,3,1500478979266841,1500479512227011,All_of_Extend_trial_3,1,0.667345,0.3037581,1,0.7267081,0.4846282
99,3,1500478979283468,1500479512243639,All_of_Extend_trial_3,1,0.6631404,0.351374,1,0.720785,0.4866678
99,3,1500478979300094,1500479512260266,All_of_Extend_trial_3,1,0.6686618,0.3422692,1,0.7085323,0.445651
99,3,1500478979316845,1500479512277018,All_of_Extend_trial_3,1,0.6510562,0.3553739,1,0.7037662,0.4889705
99,3,1500478979333472,1500479512293646,All_of_Extend_trial_3,1,0.6589323,0.3545003,1,0.7192357,0.4697127
99,3,1500478979350096,1500479512310271,All_of_Extend_trial_3,1,0.658694,0.3423703,1,0.7166034,0.4537325
99,3,1500478979366726,1500479512326902,All_of_Extend_trial_3,1,0.6530243,0.3538505,1,0.7246667,0.462102
99,3,1500478979383348,1500479512343525,All_of_Extend_trial_3,1,0.642416,0.3706652,1,0.7273613,0.48015
99,3,1500478979400101,1500479512360279,All_of_Extend_trial_3,1,0.6709421,0.3385918,1,0.7076675,0.4948499
99,3,1500478979416725,1500479512376904,All_of_Extend_trial_3,1,0.6518559,0.3605034,1,0.7268087,0.4653106
99,3,1500478979433352,1500479512393532,All_of_Extend_trial_3,1,0.6533166,0.3470987,1,0.7131453,0.4739024
99,3,1500478979449979,1500479512410160,All_of_Extend_trial_3,1,0.6481367,0.3726335,1,0.7126926,0.4617863
99,3,1500478979466729,1500479512426911,All_of_Extend_trial_3,1,0.6585658,0.2656095,1,0.7244817,0.4636232
99,3,1500478979483356,1500479512443539,All_of_Extend_trial_3,1,0.6740276,0.390802,1,0.7292948,0.4925799
99,3,1500478979499982,1500479512460166,All_of_Extend_trial_3,1,0.6740276,0.390802,0,NaN,NaN
99,3,1500478979516609,1500479512476794,All_of_Extend_trial_3,1,0.625308,0.3767317,0,NaN,NaN
99,3,1500478979533232,1500479512493418,All_of_Extend_trial_3,1,0.6485431,0.3608017,1,0.7349839,0.4445533
99,3,1500478979549983,1500479512510170,All_of_Extend_trial_3,1,0.6439568,0.345773,1,0.7154115,0.4769827
99,3,1500478979566610,1500479512526798,All_of_Extend_trial_3,1,0.5873049,0.3685893,1,0.6333644,0.4728391
99,3,1500478979583236,1500479512543425,All_of_Extend_trial_3,1,0.4865883,0.4194436,1,0.5485724,0.4790685
99,3,1500478979599862,1500479512560052,All_of_Extend_trial_3,1,0.4892607,0.3915067,1,0.5477588,0.4864811
99,3,1500478979616613,1500479512576804,All_of_Extend_trial_3,1,0.4864565,0.43141,1,0.5458819,0.452485
99,3,1500478979633252,1500479512593444,All_of_Extend_trial_3,1,0.4853074,0.4099601,1,0.5309326,0.4942012
99,3,1500478979649865,1500479512610058,All_of_Extend_trial_3,0,NaN,NaN,1,0.5368772,0.4698738
99,3,1500478979666499,1500479512626693,All_of_Extend_trial_3,1,0.4889988,0.4095821,1,0.5516447,0.465617
99,3,1500478979683119,1500479512643314,All_of_Extend_trial_3,1,0.4946533,0.4070332,1,0.5349552,0.4973686
99,3,1500478979699870,1500479512660066,All_of_Extend_trial_3,1,0.4931088,0.4380392,1,0.5474409,0.4755726
99,3,1500478979716497,1500479512676694,All_of_Extend_trial_3,1,0.4867652,0.4280846,1,0.5458169,0.4909212
99,3,1500478979733120,1500479512693318,All_of_Extend_trial_3,1,0.4882371,0.4038312,1,0.5454705,0.4870212
99,3,1500478979749746,1500479512709945,All_of_Extend_trial_3,1,0.4865588,0.4226347,1,0.5418946,0.477085
99,3,1500478979766494,1500479512726694,All_of_Extend_trial_3,1,0.4908406,0.4305744,1,0.5388154,0.4930041
99,3,1500478979783124,1500479512743325,All_of_Extend_trial_3,1,0.4879283,0.4276901,1,0.5383571,0.4830898
99,3,1500478979799750,1500479512759952,All_of_Extend_trial_3,1,0.4810162,0.4160372,1,0.543293,0.4734848
99,3,1500478979816377,1500479512776580,All_of_Extend_trial_3,1,0.4940001,0.4083457,1,0.5418041,0.474963
99,3,1500478979833003,1500479512793207,All_of_Extend_trial_3,1,0.4927631,0.413029,1,0.5286644,0.4988808
99,3,1500478979849754,1500479512809959,All_of_Extend_trial_3,1,0.480038,0.4156198,1,0.5517824,0.4639054
99,3,1500478979866382,1500479512826588,All_of_Extend_trial_3,1,0.4897111,0.4064217,1,0.5529784,0.47226
99,3,1500478979883008,1500479512843215,All_of_Extend_trial_3,1,0.4771138,0.4284001,1,0.5317519,0.4817913
99,3,1500478979899631,1500479512859839,All_of_Extend_trial_3,1,0.4535821,0.4819758,1,0.5305791,0.4955809
99,3,1500478979916382,1500479512876591,All_of_Extend_trial_3,1,0.4563748,0.4634117,1,0.5182003,0.5123199
99,3,1500478979933008,1500479512893218,All_of_Extend_trial_3,1,0.4755147,0.4440621,1,0.521391,0.502395
