"File","Text.New","Condition","Type","Version","Text.Original","Recording.order","Is.Old.Filename","Verb","file"
"look_different.wav","Look, now they're different!","Both","contrast","1",NA,1,"New","All","look_different.wav"
"look_different2.wav","Look, now it's different!","Both","contrast","2",NA,2,"New","All","look_different2.wav"
"look_that1.wav","Look at that!","Both","prep","1",NA,3,"New","All","look_that1.wav"
"look_that2.wav","Look at that!","Both","prep","2",NA,4,"New","All","look_that2.wav"
"see_that.wav","See that?","Both","prep","3",NA,5,"New","All","see_that.wav"
"hmm.wav","Hmm!","Both","prep","4",NA,6,"New","All","hmm.wav"
"wow.wav","Wow!","Both","prep","5",NA,7,"New","All","wow.wav"
"whoa.wav","Whoa!","Both","prep","6",NA,8,"New","All","whoa.wav"
"birking_ambig_future_cone.wav","Look, the monster is gonna birk over the cone.","Both","ambig","future","The monster is going to birk over the cone.",1,"New","birking","birking_ambig_future_cone.wav"
"birking_ambig_past_cone.wav","Wow, she birked over the cone!","Both","ambig","past","The monster birked over the cone.",2,"New","birking","birking_ambig_past_cone.wav"
"birking_prompt1.wav","Wow, do you see birking?","Both","prompt","1",NA,6,"New","birking","birking_prompt1.wav"
"birking_prompt2.wav","Let's find birking!","Both","prompt","2",NA,7,"New","birking","birking_prompt2.wav"
"birking_prompt3.wav","Where's birking? Look at birking!","Both","prompt","3",NA,8,"New","birking","birking_prompt3.wav"
"birking_not.wav","Uh oh! That's not birking!","Both","negative","1",NA,8.5,"New","birking","birking_not.wav"
"birking_manner_future_spaceship.wav","Now she's gonna birk around the spaceship.","Manner","train1","future","The monster is going to birk around the spaceship.",9,"Old","birking","birking_manner_future_spaceship.wav"
"birking_manner_past_spaceship.wav","Whoa, the monster birked around the spaceship!","Manner","train1","past","The monster birked around the spaceship.",10,"Old","birking","birking_manner_past_spaceship.wav"
"birking_path_future_book.wav","Now she's gonna birk over the book.","Path","train1","future","The monster is going to birk over the book.",11,"Old","birking","birking_path_future_book.wav"
"birking_path_past_book.wav","Whoa, the monster birked over the book!","Path","train1","past","The monster birked over the book.",12,"Old","birking","birking_path_past_book.wav"
"birking_manner_future_dog.wav","Look, she's gonna birk down to the dog.","Manner","train2","future","The monster is going to birk down to the dog.",13,"Old","birking","birking_manner_future_dog.wav"
"birking_manner_past_dog.wav","Wow, she birked down to the dog!","Manner","train2","past","The monster birked down to the dog.",14,"Old","birking","birking_manner_past_dog.wav"
"birking_path_future_tires.wav","Look, she's gonna birk over the tires.","Path","train2","future","The monster is going to birk over the tires.",15,"Old","birking","birking_path_future_tires.wav"
"birking_path_past_tires.wav","Wow, she birked over the tires!","Path","train2","past","The monster birked over the tires.",16,"Old","birking","birking_path_past_tires.wav"
"birking_manner_future_spaceship2.wav","Now she's gonna birk into the spaceship.","Manner","train3","future","The monster is going to birk into the spaceship.",17,"Old","birking","birking_manner_future_spaceship2.wav"
"birking_manner_past_spaceship2.wav","The monster birked into the spaceship, Wow!","Manner","train3","past","The monster birked into the spaceship.",18,"Old","birking","birking_manner_past_spaceship2.wav"
"birking_path_future_mountain.wav","Now she's gonna birk over the mountain.","Path","train3","future","The monster is going to birk over the mountain.",19,"Old","birking","birking_path_future_mountain.wav"
"birking_path_past_mountain.wav","The monster birked over the mountain, Wow!","Path","train3","past","The monster birked over the mountain.",20,"Old","birking","birking_path_past_mountain.wav"
"dacking_ambig_future_elephant.wav","Look, the monster is gonna dack in front of the elephant.","Both","ambig","future","The monster is going to dack in front of the elephant.",1,"New","dacking","dacking_ambig_future_elephant.wav"
"dacking_ambig_past_elephant.wav","Wow, she dacked in front of the elephant!","Both","ambig","past","The monster dacked in front of the elephant.",2,"New","dacking","dacking_ambig_past_elephant.wav"
"dacking_prompt1.wav","Wow, do you see dacking?","Both","prompt","1",NA,3,"New","dacking","dacking_prompt1.wav"
"dacking_prompt2.wav","Let's find dacking!","Both","prompt","2",NA,4,"New","dacking","dacking_prompt2.wav"
"dacking_prompt3.wav","Where's dacking? Look at dacking!","Both","prompt","3",NA,5,"New","dacking","dacking_prompt3.wav"
"dacking_not.wav","Uh oh! That's not dacking!","Both","negative","1",NA,8.5,"New","dacking","dacking_not.wav"
"dacking_manner_future_castle.wav","Now she's gonna dack into the castle.","Manner","train1","future","The monster is going to dack into the castle.",9,"Old","dacking","dacking_manner_future_castle.wav"
"dacking_manner_past_castle.wav","Whoa, the monster dacked into the castle!","Manner","train1","past","The monster dacked into the castle.",10,"Old","dacking","dacking_manner_past_castle.wav"
"dacking_path_future_penguin.wav","Now she's gonna dack in front of the penguin.","Path","train1","future","The monster is going to dack in front of the penguin.",11,"Old","dacking","dacking_path_future_penguin.wav"
"dacking_path_past_penguin.wav","Whoa, the monster dacked in front of the penguin!","Path","train1","past","The monster dacked in front of the penguin.",12,"Old","dacking","dacking_path_past_penguin.wav"
"dacking_manner_future_cow.wav","Look, she's gonna dack down to the cow.","Manner","train2","future","The monster is going to dack down to the cow.",13,"Old","dacking","dacking_manner_future_cow.wav"
"dacking_manner_past_cow.wav","Wow, she dacked down to the cow!","Manner","train2","past","The monster dacked down to the cow.",14,"Old","dacking","dacking_manner_past_cow.wav"
"dacking_path_future_bench.wav","Look, she's gonna dack in front of the bench.","Path","train2","future","The monster is going to dack in front of the bench.",15,"Old","dacking","dacking_path_future_bench.wav"
"dacking_path_past_bench.wav","Wow, she dacked in front of the bench!","Path","train2","past","The monster dacked in front of the bench.",16,"Old","dacking","dacking_path_past_bench.wav"
"dacking_manner_future_owl.wav","Now she's gonna dack up to the owl.","Manner","train3","future","The monster is going to dack up to the owl.",17,"Old","dacking","dacking_manner_future_owl.wav"
"dacking_manner_past_owl.wav","The monster dacked up to the owl, Wow!","Manner","train3","past","The monster dacked up to the owl.",18,"Old","dacking","dacking_manner_past_owl.wav"
"dacking_path_future_bell.wav","Now she's gonna dack in front of the bell.","Path","train3","future","The monster is going to dack in front of the bell.",19,"Old","dacking","dacking_path_future_bell.wav"
"dacking_path_past_bell.wav","The monster dacked in front of the bell, Wow!","Path","train3","past","The monster dacked in front of the bell.",20,"Old","dacking","dacking_path_past_bell.wav"
"glipping_ambig_future_clown.wav","Look, the monster is gonna glip down to the clown.","Both","ambig","future","The monster is going to glip down to the clown.",1,"New","glipping","glipping_ambig_future_clown.wav"
"glipping_ambig_past_clown.wav","Wow, she glipped down to the clown!","Both","ambig","past","The monster glipped down to the clown.",2,"New","glipping","glipping_ambig_past_clown.wav"
"glipping_prompt1.wav","Wow, do you see glipping?","Both","prompt","1",NA,3,"New","glipping","glipping_prompt1.wav"
"glipping_prompt2.wav","Let's find glipping!","Both","prompt","2",NA,4,"New","glipping","glipping_prompt2.wav"
"glipping_prompt3.wav","Where's glipping? Look at glipping!","Both","prompt","3",NA,5,"New","glipping","glipping_prompt3.wav"
"glipping_not.wav","Uh oh! That's not glipping!","Both","negative","1",NA,8.5,"New","glipping","glipping_not.wav"
"glipping_manner_future_mailboxes.wav","Now she's gonna glip between the mailboxes.","Manner","train1","future","The monster is going to glip between the mailboxes.",9,"Old","glipping","glipping_manner_future_mailboxes.wav"
"glipping_manner_past_mailboxes.wav","Whoa, the monster glipped between the mailboxes!","Manner","train1","past","The monster glipped between the mailboxes.",10,"Old","glipping","glipping_manner_past_mailboxes.wav"
"glipping_path_future_eagle.wav","Now she's gonna glip down to the eagle.","Path","train1","future","The monster is going to glip down to the eagle.",11,"Old","glipping","glipping_path_future_eagle.wav"
"glipping_path_past_eagle.wav","Whoa, the monster glipped down to the eagle!","Path","train1","past","The monster glipped down to the eagle.",12,"Old","glipping","glipping_path_past_eagle.wav"
"glipping_manner_future_bench.wav","Look, she's gonna glip in front of the bench.","Manner","train2","future","The monster is going to glip in front of the bench.",13,"Old","glipping","glipping_manner_future_bench.wav"
"glipping_manner_past_bench.wav","Wow, she glipped in front of the bench!","Manner","train2","past","The monster glipped in front of the bench.",14,"Old","glipping","glipping_manner_past_bench.wav"
"glipping_path_future_cow.wav","Look, she's gonna glip down to the cow.","Path","train2","future","The monster is going to glip down to the cow.",15,"Old","glipping","glipping_path_future_cow.wav"
"glipping_path_past_cow.wav","Wow, she glipped down to the cow!","Path","train2","past","The monster glipped down to the cow.",16,"Old","glipping","glipping_path_past_cow.wav"
"glipping_manner_future_mountain.wav","Now she's gonna glip over the mountain.","Manner","train3","future","The monster is going to glip over the mountain.",17,"Old","glipping","glipping_manner_future_mountain.wav"
"glipping_manner_past_mountain.wav","The monster glipped over the mountain, Wow!","Manner","train3","past","The monster glipped over the mountain.",18,"Old","glipping","glipping_manner_past_mountain.wav"
"glipping_path_future_dog.wav","Now she's gonna glip down to the dog.","Path","train3","future","The monster is going to glip down to the dog.",19,"Old","glipping","glipping_path_future_dog.wav"
"glipping_path_past_dog.wav","The monster glipped down to the dog, Wow!","Path","train3","past","The monster glipped down to the dog.",20,"Old","glipping","glipping_path_past_dog.wav"
"krading_ambig_future_garage.wav","Look, the monster is gonna krade into the garage.","Both","ambig","future","The monster is going to krade into the garage.",1,"New","krading","krading_ambig_future_garage.wav"
"krading_ambig_past_garage.wav","Wow, she kraded into the garage!","Both","ambig","past","The monster kraded into the garage.",2,"New","krading","krading_ambig_past_garage.wav"
"krading_prompt1.wav","Wow, do you see krading?","Both","prompt","1",NA,3,"New","krading","krading_prompt1.wav"
"krading_prompt2.wav","Let's find krading!","Both","prompt","2",NA,4,"New","krading","krading_prompt2.wav"
"krading_prompt3.wav","Where's krading? Look at krading!","Both","prompt","3",NA,5,"New","krading","krading_prompt3.wav"
"krading_not.wav","Uh oh! That's not krading!","Both","negative","1","",8.5,"New","krading","krading_not.wav"
"krading_manner_future_tunnel.wav","Now she's gonna krade through the tunnel.","Manner","train1","future","The monster is going to krade through the tunnel.",9,"Old","krading","krading_manner_future_tunnel.wav"
"krading_manner_past_tunnel.wav","Whoa, the monster kraded through the tunnel!","Manner","train1","past","The monster kraded through the tunnel.",10,"Old","krading","krading_manner_past_tunnel.wav"
"krading_path_future_barn.wav","Now she's gonna krade into the barn.","Path","train1","future","The monster is going to krade into the barn.",11,"Old","krading","krading_path_future_barn.wav"
"krading_path_past_barn.wav","Whoa, the monster kraded into the barn!","Path","train1","past","The monster kraded into the barn.",12,"Old","krading","krading_path_past_barn.wav"
"krading_manner_future_tires.wav","Look, she's gonna krade over the tires.","Manner","train2","future","The monster is going to krade over the tires.",13,"Old","krading","krading_manner_future_tires.wav"
"krading_manner_past_tires.wav","Wow, she kraded over the tires!","Manner","train2","past","The monster kraded over the tires.",14,"Old","krading","krading_manner_past_tires.wav"
"krading_path_future_spaceship.wav","Look, she's gonna krade into the spaceship.","Path","train2","future","The monster is going to krade into the spaceship.",15,"Old","krading","krading_path_future_spaceship.wav"
"krading_path_past_spaceship.wav","Wow, she  kraded into the spaceship!","Path","train2","past","The monster kraded into the spaceship.",16,"Old","krading","krading_path_past_spaceship.wav"
"krading_manner_future_bell.wav","Now she's gonna krade in front of the bell.","Manner","train3","future","The monster is going to krade in front of the bell.",17,"Old","krading","krading_manner_future_bell.wav"
"krading_manner_past_bell.wav","The monster kraded in front of the bell, Wow!","Manner","train3","past","The monster kraded in front of the bell.",18,"Old","krading","krading_manner_past_bell.wav"
"krading_path_future_castle.wav","Now she's gonna krade into the castle.","Path","train3","future","The monster is going to krade into the castle.",19,"Old","krading",NA
"krading_path_past_castle.wav","The monster kraded into the castle, Wow!","Path","train3","past","The monster kraded into the castle.",20,"Old","krading","krading_manner_past_castle.wav"
"molking_ambig_future_penguin.wav","Look, the monster is gonna molk around the penguin.","Both","ambig","future","The monster is going to molk around the penguin.",1,"New","molking","molking_ambig_future_penguin.wav"
"molking_ambig_past_penguin.wav","Wow, she molked around the penguin!","Both","ambig","past","The monster molked around the penguin.",2,"New","molking","molking_ambig_past_penguin.wav"
"molking_prompt1.wav","Wow, do you see molking?","Both","prompt","1",NA,3,"New","molking","molking_prompt1.wav"
"molking_prompt2.wav","Let's find molking!","Both","prompt","2",NA,4,"New","molking","molking_prompt2.wav"
"molking_prompt3.wav","Where's molking? Look at molking!","Both","prompt","3",NA,5,"New","molking","molking_prompt3.wav"
"molking_not.wav","Uh oh! That's not molking!","Both","negative","1",NA,8.5,"New","molking","molking_not.wav"
"molking_manner_future_book.wav","Now she's gonna molk over the book.","Manner","train1","future","The monster is going to molk over the book.",9,"Old","molking","molking_manner_future_book.wav"
"molking_manner_past_book.wav","Whoa, the monster molked over the book!","Manner","train1","past","The monster molked over the book.",10,"Old","molking","molking_manner_past_book.wav"
"molking_path_future_spaceship.wav","Now she's gonna molk around the spaceship.","Path","train1","future","The monster is going to molk around the spaceship.",11,"Old","molking","molking_path_future_spaceship.wav"
"molking_path_past_spaceship.wav","Whoa, the monster molked around the spaceship!","Path","train1","past","The monster molked around the spaceship.",12,"Old","molking","molking_path_past_spaceship.wav"
"molking_manner_future_tree.wav","Look, she's gonna molk through the tree.","Manner","train2","future","The monster is going to molk through the tree.",13,"Old","molking","molking_manner_future_tree.wav"
