SubjectNo,SubjectID,Experiment,ParticipantGroup,DAT_Directory,VerbCond,TrainingSet,VideoFile,VideoRelease,Gender,Jittered_DaysOld,Age.Years,Age.Months,WhereConducted,Tester,Notes,ReallySawVideos,InclusionDecision,ExcludeReason,Blind Code?,2nd Coder
46,Adult_0322_1.30pm,Adult,Pilot_Adult,./Kailee/Adult_0322_1.30pm,Path,PSET1,Adult_0322_1.30pm.mp4,No,F,,,,WJH,Kailee,first two min of experiment didn_ã_t get recorded (video recording starts at 2nd trail of word learning). Very engaged. ,1,0,Pilot,,
47,Adult_0322_2pm,Adult ,Pilot_Adult,./Kailee/Adult_0322_2_2pm,Manner,MSET1,Adult_0322_2_2pm.mp4,VR,F,,,,WJH,Kailee,Calibration failed twice. Data wise do not look at 0322_2pm. but rather 0322_2_2pm. very engaged. ,1,0,Pilot,,
48,Adult_0323_1030am,Adult ,Pilot_Adult,,,,,,,,,,,,,,0,Pilot,,
49,Adult_0323_11am_4,Adult ,Pilot_Adult,,,,,,,,,,,,,,0,Pilot,,
50,Adult_0323_1130am,Adult ,Pilot_Adult,,,,,,,,,,,,,,0,Pilot,,
51,Adult_0323_130pm,Adult ,Pilot_Adult,,,,,,,,,,,,,,0,Pilot,,
52,Adult_0323_230pm,Adult ,Pilot_Adult,,,,,,,,,,,,,,0,Pilot,,
53,child_pilot_03232018_3pmx2,Pilot3 - NEW - SHORT,Child,,Path,PSet2,,VR,F,926,2,6,WJH,Melissa,Big argument about whether our plot-less cartoons count as 'movies',1,0,Pilot,,
54,child_pilot_03232018_5pm,Pilot3 - NEW - SHORT,Child,,Manner,MSet1,,VR,M,957,2,7,WJH,Melissa,"Didn't watch videos at home (not assigned?); solemn & still, but leaning far forward on later trials",0,0,Pilot,,
55,child_pilot_032618_10am_noeye,Pilot3 - NEW - SHORT,Child,,Manner,Mset 1,,VR,M,1061,2,10,WJH,Melissa,"""Do you see pilking?"" ""No, I don't."" Lots of commentary! ET monitor wouldn't connect :(, so run on tablet monitor with no ET data :(",1,0,Pilot,,
56,child_pilot_032618_11am,Pilot3 - NEW - SHORT,Child,,Manner,MSet1,,VR,M,950,2,7,WJH,Melissa,NOTE ASSIGNED TO PSet1 at home but ran MSet1,0,0,Pilot,,
57,Theodora_Pilot_32618,Pilot3 - NEW - SHORT,Child,,Manner,MSet2,,VR,F,867,2,4,WJH,Liz,"Although datafile is named 'theodora', this REALLY was the child named R. run on 3/26",1,0,Pilot,,
58,child_03272018_1130am,Pilot3 - NEW - SHORT,Child,,Manner,MSet2,,VR,F,1063,2,10,WJH,Kailee,"Wiggly/restless kid, sitting on her own, flagged around trial 7",1,0,Pilot,,
59,Child_Pilot_03272018_4_2pm,Pilot3 - NEW - SHORT,Child,,Path,PSet1,,VR,M,969,2,7,WJH,Kailee,Only thru trial 2,1,0,Pilot,,
60,child_pilot_03282018_10_3am,Pilot3 - NEW - SHORT,Child,,Path,PSet1,child_pilot_032818.mp4,VR,M,812,2,2,WJH,Kailee,Wiggly but engaged - used carseat,1,0,Pilot,,
61,childpilot_032918,Pilot3 - NEW - SHORT,Child,,Path,PSet1,child_pilot_032918.mp4,VR,F,814,2,2,WJH,Melissa,No videos assigned for at-home. Chatty but made it thru 6 trials,0,0,Pilot,,
62,child_pilot_04022018_10am,Pilot3 - NEW - SHORT,Child,,Manner,MSet1,child_pilot_04022018_10am.mp4,VR,F,852,2,3,WJH,Kailee,Lots of talking but watched whole thing,1,0,Pilot,,
63,child_04092018_9am,Pilot3 - NEW - SHORT,Child,,Manner,MSet2,child_pilot_04092018_9am.mp4,VR,F,921,2,6,WJH,Melissa,"Excited to see the ones she had watched at home! Sat on lap, v. still/engaged",1,0,Pilot,,
