AOIName,L,T,R,B
Left_Box,0.02,0.19,0.47,0.61
Right_Box,0.52,0.19,0.98,0.61
Center_Box,0.27,0.19,0.73,0.61
Left_Side,-0.5,-0.5,0.5,1.5
Right_Side,0.5,-0.5,1.5,1.5
