Trial_description,X_min,Y_min,X_max,Y_max
trainingAudio_2_Main 6,,,,
trainingAudio_3_Main 6,,,,
trainingVideo_3_Main 6,0.35,0.1963,0.93,0.6313
trainingAudio_3_Main 6,,,,
testAudio_Main 6,,,,
left_testVideo_Main 6,0.25,0.1963,0.605,0.6313
right_testVideo_Main 6,0.67,0.1963,1.25,0.6313
testAudio_Main 6,,,,
testVideos_Main 6,0.25,0.1963,1.25,0.6313
End_Trial_Main 6,,,,
recenter 6,,,,
Start_Trial 7,,,,
ambigAudio_Main7,,,,
ambigVideo_Main 7,0.35,0.1963,0.93,0.6313
ambigAudio_Main 7,,,,
biasAudio_Main7,,,,
left_biasVideo_Main 7,0.25,0.1963,0.605,0.6313
right_biasVideo_Main 7,0.67,0.1963,1.25,0.6313
audio_biasTest_Main 7,,,,
biasTest_Main 7,,,,
trainingAudio_1_Main 7,,,,
trainingVideo_1_Main 7,0.35,0.1963,0.93,0.6313
trainingAudio_1_Main 7,,,,
trainingAudio_2_Main 7,,,,
trainingVideo_2_Main 7,0.35,0.1963,0.93,0.6313
trainingAudio_2_Main 7,,,,
trainingAudio_3_Main 7,,,,
trainingVideo_3_Main 7,0.35,0.1963,0.93,0.6313
trainingAudio_3_Main 7,,,,
testAudio_Main 7,,,,
left_testVideo_Main 7,0.25,0.1963,0.605,0.6313
right_testVideo_Main 7,0.67,0.1963,1.25,0.6313
testAudio_Main 7,,,,
testVideos_Main 7,0.25,0.1963,1.25,0.6313
End_Trial_Main 7,,,,
recenter 7,,,,
Start_Trial 8,,,,
ambigAudio_Main8,,,,
ambigVideo_Main 8,0.35,0.1963,0.93,0.6313
ambigAudio_Main 8,,,,
biasAudio_Main8,,,,
left_biasVideo_Main 8,0.25,0.1963,0.605,0.6313
right_biasVideo_Main 8,0.67,0.1963,1.25,0.6313
audio_biasTest_Main 8,,,,
biasTest_Main 8,,,,
trainingAudio_1_Main 8,,,,
trainingVideo_1_Main 8,0.35,0.1963,0.93,0.6313
trainingAudio_1_Main 8,,,,
trainingAudio_2_Main 8,,,,
trainingVideo_2_Main 8,0.35,0.1963,0.93,0.6313
trainingAudio_2_Main 8,,,,
trainingAudio_3_Main 8,,,,
trainingVideo_3_Main 8,0.35,0.1963,0.93,0.6313
trainingAudio_3_Main 8,,,,
testAudio_Main 8,,,,
left_testVideo_Main 8,0.25,0.1963,0.605,0.6313
right_testVideo_Main 8,0.67,0.1963,1.25,0.6313
testAudio_Main 8,,,,
testVideos_Main 8,0.25,0.1963,1.25,0.6313
End_Trial_Main 8,,,,
recenter 8,,,,
Start_Extend_Trial 1,,,,
ambigAudio_Extend 1,,,,
ambigVideo_Extend 1,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 1,,,,
biasAudio_Extend 1,,,,
left_biasVideo_Extend 1,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 1,0.67,0.1963,1.25,0.6313
biasAudio_Extend 1,,,,
biasTest_Extend 1,,,,
End_Extend_Trial 1,,,,
recenter 1,,,,
Start_Extend_Trial 2,,,,
ambigAudio_Extend 2,,,,
ambigVideo_Extend 2,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 2,,,,
biasAudio_Extend 2,,,,
left_biasVideo_Extend 2,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 2,0.67,0.1963,1.25,0.6313
biasAudio_Extend 2,,,,
biasTest_Extend 2,0.25,0.1963,1.25,0.6313
End_Extend_Trial 2,,,,
recenter 2,,,,
Start_Extend_Trial 3,,,,
ambigAudio_Extend 3,,,,
ambigVideo_Extend 3,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 3,,,,
biasAudio_Extend 3,,,,
left_biasVideo_Extend 3,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 3,0.67,0.1963,1.25,0.6313
biasAudio_Extend 3,,,,
biasTest_Extend 3,0.25,0.1963,1.25,0.6313
End_Extend_Trial 3,,,,
recenter 3,,,,
Start_Extend_Trial 4,,,,
ambigAudio_Extend 4,,,,
ambigVideo_Extend 4,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 4,,,,
biasAudio_Extend 4,,,,
left_biasVideo_Extend 4,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 4,0.67,0.1963,1.25,0.6313
biasAudio_Extend 4,,,,
biasTest_Extend 4,0.25,0.1963,1.25,0.6313
End_Extend_Trial 4,,,,
recenter 4,,,,
Start_Extend_Trial 5,,,,
ambigAudio_Extend 5,,,,
ambigVideo_Extend 5,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 5,,,,
biasAudio_Extend 5,,,,
left_biasVideo_Extend 5,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 5,0.67,0.1963,1.25,0.6313
biasAudio_Extend 5,,,,
biasTest_Extend 5,0.25,0.1963,1.25,0.6313
End_Extend_Trial 5,,,,
recenter 5,,,,
Start_Extend_Trial 6,,,,
ambigAudio_Extend 6,,,,
ambigVideo_Extend 6,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 6,,,,
biasAudio_Extend 6,,,,
left_biasVideo_Extend 6,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 6,0.67,0.1963,1.25,0.6313
biasAudio_Extend 6,,,,
biasTest_Extend 6,0.25,0.1963,1.25,0.6313
End_Extend_Trial 6,,,,
recenter 6,,,,
Start_Extend_Trial 7,,,,
ambigAudio_Extend 7,,,,
ambigVideo_Extend 7,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 7,,,,
biasAudio_Extend 7,,,,
left_biasVideo_Extend 7,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 7,0.67,0.1963,1.25,0.6313
biasAudio_Extend 7,,,,
biasTest_Extend 7,0.25,0.1963,1.25,0.6313
End_Extend_Trial 7,,,,
recenter 7,,,,
Start_Extend_Trial 8,,,,
ambigAudio_Extend 8,,,,
ambigVideo_Extend 8,0.35,0.1963,0.93,0.6313
ambigAudio_Extend 8,,,,
biasAudio_Extend 8,,,,
left_biasVideo_Extend 8,0.25,0.1963,0.605,0.6313
right_biasVideo_Extend 8,0.67,0.1963,1.25,0.6313
biasAudio_Extend 8,,,,
biasTest_Extend 8,0.25,0.1963,1.25,0.6313
End_Extend_Trial 8,,,,
recenter 8,,,,
