trialNo,X_min,X_max,Y_min,Y_max
9,0.67,1.25,0.1963,0.6313
10,0.67,1.25,0.1963,0.6313
11,0.25,0.605,0.1963,0.6313
12,0.25,0.605,0.1963,0.6313
13,0.25,0.605,0.1963,0.6313
14,0.67,1.25,0.1963,0.6313
15,0.67,1.25,0.1963,0.6313
16,0.25,0.605,0.1963,0.6313
