subjectID,trialNo,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,5,1500479056374690,1500479589339378,All_of_Extend_trial_5,1,0.5917413,0.3048166,1,0.5977972,0.4120271
99,5,1500479056391316,1500479589356005,All_of_Extend_trial_5,1,0.577471,0.3544914,1,0.5992643,0.4061019
99,5,1500479056407943,1500479589372633,All_of_Extend_trial_5,1,0.5814342,0.3402343,1,0.5964603,0.3963949
99,5,1500479056424692,1500479589389383,All_of_Extend_trial_5,1,0.5815264,0.3560377,1,0.5904921,0.4067802
99,5,1500479056441318,1500479589406010,All_of_Extend_trial_5,1,0.5787868,0.340398,1,0.600935,0.4103043
99,5,1500479056457945,1500479589422638,All_of_Extend_trial_5,1,0.5797043,0.3496108,1,0.5843592,0.4179684
99,5,1500479056474568,1500479589439262,All_of_Extend_trial_5,1,0.5761495,0.3350978,1,0.59039,0.4126359
99,5,1500479056491195,1500479589455890,All_of_Extend_trial_5,1,0.5759495,0.3635526,1,0.6014359,0.4090261
99,5,1500479056507961,1500479589472657,All_of_Extend_trial_5,1,0.5800534,0.3494404,1,0.5916611,0.4200662
99,5,1500479056524572,1500479589489269,All_of_Extend_trial_5,1,0.5899386,0.3517173,1,0.5902686,0.4198774
99,5,1500479056541199,1500479589505897,All_of_Extend_trial_5,1,0.5872929,0.337575,1,0.6000682,0.3979554
99,5,1500479056557825,1500479589522524,All_of_Extend_trial_5,1,0.5780385,0.3574136,1,0.5949481,0.426495
99,5,1500479056574576,1500479589539276,All_of_Extend_trial_5,1,0.577522,0.359509,1,0.590748,0.4107158
99,5,1500479056591202,1500479589555903,All_of_Extend_trial_5,1,0.5792941,0.3616873,1,0.5915294,0.4012052
99,5,1500479056607829,1500479589572531,All_of_Extend_trial_5,1,0.5795829,0.3672188,1,0.5956982,0.3983074
99,5,1500479056624463,1500479589589166,All_of_Extend_trial_5,1,0.5862343,0.3565472,1,0.59323,0.4161097
99,5,1500479056641206,1500479589605910,All_of_Extend_trial_5,1,0.5674001,0.3644749,1,0.5952051,0.4026057
99,5,1500479056657830,1500479589622535,All_of_Extend_trial_5,1,0.5771969,0.3532581,1,0.5968306,0.3806393
99,5,1500479056674456,1500479589639162,All_of_Extend_trial_5,1,0.5893565,0.3513684,1,0.5912606,0.4101879
99,5,1500479056691082,1500479589655789,All_of_Extend_trial_5,1,0.5833217,0.3574053,1,0.6007956,0.4151741
99,5,1500479056707709,1500479589672417,All_of_Extend_trial_5,1,0.5384825,0.3838008,1,0.5388889,0.4443685
99,5,1500479056724460,1500479589689169,All_of_Extend_trial_5,1,0.5257626,0.3999783,1,0.5043589,0.4281891
99,5,1500479056741083,1500479589705793,All_of_Extend_trial_5,1,0.5249342,0.3990051,1,0.5146404,0.4433714
99,5,1500479056757713,1500479589722424,All_of_Extend_trial_5,1,0.5159706,0.4213123,1,0.5027621,0.4502884
99,5,1500479056774340,1500479589739052,All_of_Extend_trial_5,1,0.506743,0.4285099,1,0.5090319,0.4401668
99,5,1500479056791091,1500479589755804,All_of_Extend_trial_5,1,0.5320751,0.4002815,1,0.5122319,0.4724984
99,5,1500479056807717,1500479589772431,All_of_Extend_trial_5,1,0.5185198,0.4150758,1,0.5136756,0.4674029
99,5,1500479056824343,1500479589789058,All_of_Extend_trial_5,1,0.5059704,0.4184845,1,0.5045673,0.4422581
99,5,1500479056840971,1500479589805687,All_of_Extend_trial_5,1,0.5166636,0.4043085,1,0.5109567,0.4602177
99,5,1500479056857593,1500479589822310,All_of_Extend_trial_5,1,0.5111694,0.4146372,1,0.5186599,0.4485982
99,5,1500479056874345,1500479589839063,All_of_Extend_trial_5,1,0.5235389,0.414852,1,0.5120828,0.4548972
99,5,1500479056890971,1500479589855690,All_of_Extend_trial_5,1,0.5192623,0.40248,1,0.5114995,0.4414085
99,5,1500479056907597,1500479589872317,All_of_Extend_trial_5,1,0.5098692,0.4190065,1,0.5064437,0.4693421
99,5,1500479056924224,1500479589888945,All_of_Extend_trial_5,1,0.4666129,0.5411332,1,0.4455104,0.6230324
99,5,1500479056940975,1500479589905697,All_of_Extend_trial_5,1,0.4098467,0.7872106,1,0.366106,0.8296901
99,5,1500479056957601,1500479589922324,All_of_Extend_trial_5,1,0.3410074,1.052691,1,0.350524,0.8691291
99,5,1500479056974227,1500479589938951,All_of_Extend_trial_5,1,0.2728364,1.191994,1,0.1945931,1.282402
99,5,1500479056990854,1500479589955579,All_of_Extend_trial_5,1,0.1921948,1.32738,1,0.107917,1.447857
99,5,1500479057007479,1500479589972205,All_of_Extend_trial_5,0,NaN,NaN,1,0.08809302,1.410057
