subjectID,trialNo,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,6,1500479094545525,1500479627512407,All_of_Extend_trial_6,1,0.2656559,0.5338356,1,0.2684216,0.5425342
99,6,1500479094562277,1500479627529160,All_of_Extend_trial_6,1,0.2725909,0.5522327,1,0.2698018,0.5495631
99,6,1500479094578901,1500479627545785,All_of_Extend_trial_6,1,0.2689994,0.5506131,1,0.2682874,0.5248748
99,6,1500479094595527,1500479627562411,All_of_Extend_trial_6,1,0.2682851,0.5423117,1,0.2750213,0.5492936
99,6,1500479094612153,1500479627579039,All_of_Extend_trial_6,1,0.2725057,0.5577932,1,0.266861,0.5410916
99,6,1500479094628779,1500479627595665,All_of_Extend_trial_6,1,0.2729209,0.5203312,1,0.2671641,0.536708
99,6,1500479094645530,1500479627612417,All_of_Extend_trial_6,1,0.2671925,0.5499132,1,0.2752737,0.524137
99,6,1500479094662163,1500479627629051,All_of_Extend_trial_6,1,0.2719418,0.5274833,1,0.2688967,0.5358453
99,6,1500479094678783,1500479627645672,All_of_Extend_trial_6,1,0.2652158,0.5422958,1,0.2720057,0.5803708
99,6,1500479094695409,1500479627662299,All_of_Extend_trial_6,1,0.2581355,0.5195819,1,0.2660947,0.5394811
99,6,1500479094712177,1500479627679068,All_of_Extend_trial_6,1,0.2567468,0.5308033,1,0.2685747,0.5671303
99,6,1500479094728788,1500479627695680,All_of_Extend_trial_6,1,0.2659149,0.5462343,1,0.2614424,0.5628203
99,6,1500479094745421,1500479627712314,All_of_Extend_trial_6,1,0.2638311,0.5524423,1,0.268498,0.5515021
99,6,1500479094762038,1500479627728932,All_of_Extend_trial_6,1,0.2627056,0.560351,1,0.2712714,0.565756
99,6,1500479094778664,1500479627745558,All_of_Extend_trial_6,1,0.2538646,0.5667235,1,0.2651891,0.5598192
99,6,1500479094795422,1500479627762317,All_of_Extend_trial_6,1,0.2634784,0.5391678,1,0.2611169,0.536321
99,6,1500479094812041,1500479627778937,All_of_Extend_trial_6,1,0.2618403,0.5278378,1,0.2805172,0.54684
99,6,1500479094828667,1500479627795564,All_of_Extend_trial_6,1,0.2596571,0.544561,1,0.2716045,0.5707716
99,6,1500479094845294,1500479627812192,All_of_Extend_trial_6,1,0.2595053,0.5430523,1,0.2636916,0.5649654
99,6,1500479094862045,1500479627828944,All_of_Extend_trial_6,1,0.2613935,0.5543068,1,0.2726325,0.5578129
99,6,1500479094878672,1500479627845572,All_of_Extend_trial_6,1,0.3521749,0.4450247,1,0.2783513,0.5687755
99,6,1500479094895298,1500479627862199,All_of_Extend_trial_6,1,0.4874537,0.3360312,1,0.5228604,0.4026462
99,6,1500479094911922,1500479627878824,All_of_Extend_trial_6,1,0.4942435,0.3369293,1,0.5252486,0.4379593
99,6,1500479094928552,1500479627895455,All_of_Extend_trial_6,1,0.4875915,0.4009172,1,0.5218679,0.4323953
