subjectID,trialNo,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,4,1500479018303734,1500479551266194,All_of_Extend_trial_4,1,0.2174979,0.4533309,1,0.2148563,0.5250688
99,4,1500479018320359,1500479551282820,All_of_Extend_trial_4,1,0.2930121,0.439169,1,0.3063291,0.4960026
99,4,1500479018336986,1500479551299448,All_of_Extend_trial_4,1,0.3022114,0.436539,1,0.329188,0.4905166
99,4,1500479018353737,1500479551316200,All_of_Extend_trial_4,1,0.3068343,0.4116884,1,0.313838,0.4970229
99,4,1500479018370361,1500479551332825,All_of_Extend_trial_4,1,0.3132844,0.4125743,1,0.3211735,0.5061805
99,4,1500479018386987,1500479551349452,All_of_Extend_trial_4,1,0.313532,0.3993426,1,0.3139583,0.4995827
99,4,1500479018403614,1500479551366080,All_of_Extend_trial_4,1,0.3187883,0.4247492,1,0.3126183,0.5126867
99,4,1500479018420240,1500479551382707,All_of_Extend_trial_4,1,0.3179238,0.4121278,1,0.3123167,0.4925917
99,4,1500479018436991,1500479551399459,All_of_Extend_trial_4,1,0.2945543,0.3681649,1,0.3057075,0.4369732
99,4,1500479018453618,1500479551416087,All_of_Extend_trial_4,1,0.298994,0.3739568,1,0.3076524,0.4297672
99,4,1500479018470245,1500479551432715,All_of_Extend_trial_4,0,NaN,NaN,0,NaN,NaN
99,4,1500479018486871,1500479551449342,All_of_Extend_trial_4,1,0.3056202,0.4094315,1,0.3240779,0.4835626
99,4,1500479018503625,1500479551466097,All_of_Extend_trial_4,1,0.3228429,0.4082269,1,0.3323609,0.4847731
99,4,1500479018520248,1500479551482721,All_of_Extend_trial_4,1,0.3079179,0.4215656,1,0.3158735,0.4914261
99,4,1500479018536874,1500479551499348,All_of_Extend_trial_4,1,0.3088081,0.4368934,1,0.3209541,0.4717257
99,4,1500479018553498,1500479551515973,All_of_Extend_trial_4,1,0.2999646,0.4345768,1,0.3188661,0.4702722
99,4,1500479018570124,1500479551532600,All_of_Extend_trial_4,1,0.2972031,0.4204575,1,0.3113996,0.4767108
99,4,1500479018586876,1500479551549353,All_of_Extend_trial_4,1,0.299451,0.4339007,1,0.312343,0.476491
99,4,1500479018603502,1500479551565980,All_of_Extend_trial_4,1,0.3020116,0.4291768,1,0.3216859,0.461906
99,4,1500479018620128,1500479551582607,All_of_Extend_trial_4,1,0.3047813,0.4364217,1,0.3232402,0.4457054
99,4,1500479018636755,1500479551599235,All_of_Extend_trial_4,1,0.2984191,0.4281136,1,0.3146526,0.4722993
99,4,1500479018653506,1500479551615987,All_of_Extend_trial_4,1,0.4016535,0.4689592,1,0.4045106,0.4719619
99,4,1500479018670132,1500479551632614,All_of_Extend_trial_4,1,0.4714368,0.4528981,1,0.4890216,0.4681243
99,4,1500479018686758,1500479551649241,All_of_Extend_trial_4,1,0.4668586,0.4634098,1,0.488798,0.4715574
